store,app_id,name,developer,rating,ratings_count,installs,price,free,contains_ads,in_app_purchases,iap_range,prices_mentioned,plan_keywords,mentions_subscription,mentions_trial,mentions_lifetime,url
play,com.teampenguin.quitapp,Quit: Hypnosis to Stop Smoking,Team Penguin Studio,0.0,0.0,"100,000+",0.0,True,False,True,"₹410.00 - ₹6,000.00 per item",,pro; subscription; trial,True,True,False,https://play.google.com/store/apps/details?id=com.teampenguin.quitapp&hl=en&gl=in
play,app.puffcounter.free.kwit.flamy.ecigtracker.quitvaping.smokefree.quitnow,Puff Counter - Quit Smoking,Quit Vaping Addiction,,,"5,000+",0.0,True,True,True,"₹161.50 - ₹1,294.50 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=app.puffcounter.free.kwit.flamy.ecigtracker.quitvaping.smokefree.quitnow&hl=en&gl=in
play,com.invictus.quitaddiction,"Quit Smoking, Weed & Vape",mission invictus,4.5,12.0,"1,000+",0.0,True,False,True,₹40.00 - ₹650.00 per item,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.invictus.quitaddiction&hl=en&gl=in
play,com.herzberg.easyquitsmokingpro,Stop Smoking - EasyQuit Pro,Easy Health Apps,4.769231,2491.0,"10,000+",1150.0,False,False,False,,,pro,False,False,False,https://play.google.com/store/apps/details?id=com.herzberg.easyquitsmokingpro&hl=en&gl=in
play,com.mindsethealth.quit,Finito: Stop Smoking,Mindset Health,0.0,0.0,"10,000+",0.0,True,False,True,"₹2,750.00 - ₹9,500.00 per item",,pro; subscription,True,False,False,https://play.google.com/store/apps/details?id=com.mindsethealth.quit&hl=en&gl=in
play,com.weanie.weanieapp,Quit & Stop Smoking - Weanie,Weanie Pty Limited,,,500+,0.0,True,False,True,"₹620.00 - ₹8,800.00 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=com.weanie.weanieapp&hl=en&gl=in
play,net.eagin.software.android.dejaloYa,QuitNow PRO: Stop smoking,Fewlaps,4.7894735,6697.0,"50,000+",4100.0,False,False,False,,rs 80,pro,False,False,False,https://play.google.com/store/apps/details?id=net.eagin.software.android.dejaloYa&hl=en&gl=in
play,escape.thevape,Escape the Vape - Quit Vaping,Woke Enterprises LLC,4.875,1769.0,"100,000+",0.0,True,False,True,"₹650.00 - ₹2,400.00 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=escape.thevape&hl=en&gl=in
play,com.frostrabbitcompany.puff_count,Quit Vaping Tracker - No Vape,Frostrabbit LLC,0.0,0.0,"10,000+",0.0,True,False,True,"₹650.00 - ₹9,300.00 per item",,pro,False,False,False,https://play.google.com/store/apps/details?id=com.frostrabbitcompany.puff_count&hl=en&gl=in
play,com.app.easystopsmoking,Easy Quit Smoking & Vaping,Harmony Hypnosis Ltd,,,"10,000+",0.0,True,False,True,"₹1,000.00 - ₹4,900.00 per item",,lifetime; pro,True,False,True,https://play.google.com/store/apps/details?id=com.app.easystopsmoking&hl=en&gl=in
